	Bach2	E2f1	E2f6	Gata3	Hes1	Klf5	Klf6	Pou2f2	Prdm16	Tcf7l1
1700001l05rik	0	-1.0	-1.0	0	-1.0	-1.0	-1.0	0	0	0
1700113h08rik	1.0	0	0	1.0	0	0	0	1.0	0	0
2310007l24rik	0	0	0	-2.0	0	0	0	0	0	0
2510009e07rik	3.0	0	0	1.0	0	0	0	0	0	0
4930404i05rik	0	0	0	1.0	0	0	0	0	0	0
4930412o13rik	0	0	0	2.0	0	0	0	0	0	0
4930417o13rik	0	0	0	0	0	0	0	2.0	0	0
4930486l24rik	0	0	0	0	0	0	0	1.0	0	0
4932438h23rik	2.0	0	0	3.0	0	0	0	0	0	0
Abca1	0	0	0	-1.0	0	0	0	0	0	0
Acbd7	1.0	0	0	0	0	0	0	0	0	0
Acer2	2.0	0	0	1.0	0	0	0	1.0	0	0
Acoxl	1.0	0	0	3.0	0	0	0	3.0	1.0	0
Acsbg1	0	0	0	3.0	0	0	0	0	0	0
Acsf2	0	0	0	-1.0	0	0	0	0	0	0
Acsl4	2.0	0	0	1.0	0	0	0	0	0	0
Actn2	1.0	0	0	3.0	0	0	0	0	0	0
Acvr2a	0	0	0	0	0	0	0	0	1.0	0
Adam10	1.0	0	0	0	0	0	0	0	0	0
Adam19	2.0	0	0	0	0	0	0	2.0	1.0	0
Adam8	0	0	0	0	0	-1.0	-1.0	0	0	0
Adamtsl4	0	0	0	0	0	0	0	0	0	-1.0
Adap1	0	-1.0	-1.0	0	-1.0	0	0	0	0	-1.0
Adcy9	1.0	0	0	1.0	0	0	0	0	0	0
Aff4	1.0	0	0	0	0	0	0	0	1.0	0
Ahcyl2	2.0	0	0	5.0	0	0	0	0	0	0
Ahnak	2.0	0	0	1.0	0	0	0	0	0	0
Ahr	1.0	0	0	0	0	0	0	0	0	0
Ahrr	1.0	0	0	1.0	0	0	0	0	0	0
Aim1	2.0	0	0	0	0	0	0	0	0	0
Akr1c13	1.0	0	0	0	0	0	0	0	0	0
Aldh2	0	0	0	1.0	0	0	0	0	0	0
Alox5	0	0	0	1.0	0	0	0	0	0	0
Amph	0	0	0	1.0	0	0	0	1.0	0	0
Amz2	0	0	0	0	0	0	0	0	0	-1.0
Angpt1	3.0	0	0	3.0	0	0	0	3.0	0	0
Ankrd33b	0	0	0	0	-1.0	0	0	0	0	0
Ankrd44	2.0	0	0	4.0	0	0	0	0	1.0	0
Anks6	1.0	0	0	0	0	0	0	0	0	0
Anpep	0	0	0	-3.0	0	0	0	0	0	0
Anxa2	0	0	0	0	0	-1.0	-1.0	0	0	0
Ap1s3	1.0	0	0	2.0	0	0	0	3.0	0	0
Apol7e	0	0	0	-1.0	0	0	0	0	0	0
Ar	3.0	0	0	2.0	0	0	0	2.0	0	0
Arap3	0	0	0	-1.0	0	0	0	0	0	0
Areg	0	0	0	1.0	0	0	0	1.0	0	0
Arfgap3	0	-1.0	-1.0	0	-1.0	-1.0	-1.0	0	0	0
Arhgap15	2.0	0	0	6.0	0	0	0	0	0	0
Arhgap21	0	0	0	-4.0	0	0	0	0	0	0
Arhgap4	0	0	0	0	0	0	0	3.0	0	0
Arhgap5	0	0	0	5.0	0	0	0	0	0	0
Arhgef10l	0	0	0	0	0	0	0	0	1.0	0
Arhgef6	2.0	0	0	0	0	0	0	3.0	0	0
Arid5b	3.0	0	0	6.0	0	0	0	0	0	0
Arl5a	0	0	0	3.0	0	0	0	0	0	0
Arsb	0	0	0	0	0	0	0	0	0	-1.0
Art2b	1.0	0	0	2.0	0	0	0	0	0	0
Asns	0	0	0	0	0	-1.0	-1.0	0	0	0
Atcay	0	0	0	-1.0	0	0	0	0	0	0
Atg2a	0	0	0	0	0	-1.0	-1.0	0	0	0
Atp10d	0	0	0	1.0	0	0	0	1.0	1.0	0
Atp8a1	1.0	0	0	0	0	0	0	0	1.0	0
Atp8a2	3.0	0	0	5.0	0	0	0	0	0	0
Atrx	0	0	0	1.0	0	0	0	0	0	0
Auts2	0	-1.0	-1.0	0	-1.0	0	0	0	0	0
Azin1	0	-1.0	-1.0	0	0	0	0	0	0	0
B3galt5	0	0	0	0	0	0	0	0	0	-1.0
B4galt1	1.0	0	0	5.0	0	0	0	0	0	0
B4galt5	0	0	0	-1.0	0	-1.0	-1.0	0	0	0
B4galt6	0	0	0	-1.0	0	0	0	0	0	0
Bach2	0	0	0	5.0	0	0	0	1.0	0	0
Baiap2l1	0	0	0	0	0	-1.0	-1.0	0	0	0
Bbs9	1.0	0	0	4.0	0	0	0	0	1.0	0
Bc035044	0	-1.0	-1.0	-2.0	0	0	0	0	0	0
Bc049352	0	0	0	1.0	0	0	0	0	0	0
Bcl11b	2.0	0	0	1.0	0	0	0	0	0	0
Bcl2	0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	-1.0
Bcl2l1	1.0	0	0	6.0	0	0	0	3.0	0	0
Bdh1	3.0	0	0	0	0	0	0	0	0	0
Bend4	0	-1.0	-1.0	-1.0	0	-1.0	-1.0	0	0	-1.0
Bmp7	0	0	0	0	0	0	0	3.0	0	0
Bsn	0	-1.0	-1.0	0	0	-1.0	-1.0	0	0	0
Bst2	0	0	0	0	0	-1.0	-1.0	0	0	0
Btbd11	0	0	0	-3.0	0	0	0	0	0	0
Btbd19	1.0	0	0	1.0	0	0	0	0	0	0
Bzw2	3.0	0	0	3.0	0	0	0	0	0	0
Cacna1d	2.0	0	0	2.0	0	0	0	0	0	0
Cadm1	0	0	0	0	-1.0	-1.0	-1.0	0	0	0
Calcrl	0	0	0	3.0	0	0	0	0	0	0
Camk2b	0	0	0	-1.0	0	0	0	0	0	0
Camk2d	3.0	0	0	1.0	0	0	0	3.0	0	0
Cap2	0	0	0	-1.0	0	0	0	0	0	0
Capn2	2.0	0	0	1.0	0	0	0	0	0	0
Car13	0	0	0	3.0	0	0	0	0	0	0
Car8	3.0	0	0	1.0	0	0	0	0	1.0	0
Card10	0	0	0	0	0	-1.0	-1.0	0	0	0
Casc4	0	0	0	0	0	0	0	1.0	0	0
Cask	0	0	0	1.0	0	0	0	2.0	0	0
Casz1	0	-1.0	-1.0	0	0	0	0	0	0	0
Cbfa2t3	0	0	0	-1.0	-1.0	0	0	0	0	0
Ccdc109b	0	0	0	1.0	0	0	0	0	1.0	0
Ccdc11	1.0	0	0	0	0	0	0	0	0	0
Ccdc25	0	0	0	-1.0	0	0	0	0	0	0
Ccdc88a	0	0	0	-4.0	0	0	0	0	0	0
Ccl1	0	0	0	1.0	0	0	0	0	0	0
Ccl17	0	0	0	-3.0	0	0	0	0	0	0
Ccl5	0	0	0	-1.0	0	0	0	0	0	0
Ccnd2	0	0	0	2.0	0	0	0	3.0	1.0	0
Ccr8	0	0	0	4.0	0	0	0	2.0	0	0
Cd160	0	0	0	-1.0	0	0	0	0	0	0
Cd164	0	0	0	0	-1.0	0	0	0	0	0
Cd200r1	1.0	0	0	1.0	0	0	0	0	0	0
Cd226	0	0	0	3.0	0	0	0	0	0	0
Cd247	0	0	0	4.0	0	0	0	0	0	0
Cd27	0	0	0	1.0	0	0	0	0	1.0	0
Cd28	0	0	0	5.0	0	0	0	0	1.0	0
Cd44	0	0	0	5.0	0	0	0	2.0	0	0
Cd53	0	0	0	2.0	0	0	0	0	0	0
Cd6	3.0	0	0	0	0	0	0	0	0	0
Cd68	0	-1.0	-1.0	0	0	-1.0	-1.0	0	0	0
Cd69	1.0	0	0	3.0	0	0	0	0	0	0
Cd86	0	0	0	-1.0	0	0	0	0	0	0
Cd93	0	0	0	-1.0	0	0	0	0	0	0
Cdc14a	0	0	0	-1.0	0	0	0	0	0	0
Cdk14	0	0	0	-2.0	0	0	0	0	0	0
Cdkl3	0	0	0	0	0	0	0	1.0	0	0
Cdon	0	0	0	-4.0	0	0	0	0	0	0
Cdyl2	0	-1.0	-1.0	-2.0	0	0	0	0	0	-1.0
Celf2	0	0	0	-2.0	0	0	0	0	0	0
Celsr1	1.0	0	0	0	0	0	0	0	1.0	0
Cep63	1.0	0	0	1.0	0	0	0	0	0	0
Cercam	0	0	0	0	0	0	0	0	0	-1.0
Chad	0	0	0	-1.0	0	0	0	0	0	0
Chaf1b	0	0	0	1.0	0	0	0	0	0	0
Chd7	1.0	0	0	2.0	0	0	0	1.0	0	0
Chdh	2.0	0	0	3.0	0	0	0	3.0	0	0
Chic1	0	0	0	2.0	0	0	0	0	1.0	0
Chm	2.0	0	0	3.0	0	0	0	0	0	0
Chn2	2.0	0	0	2.0	0	0	0	3.0	0	0
Chst11	0	0	0	-3.0	0	0	0	0	0	-1.0
Chst12	0	0	0	0	0	-1.0	-1.0	0	0	0
Chsy3	0	0	0	2.0	0	0	0	1.0	0	0
Clcn3	0	0	0	-1.0	0	0	0	0	0	0
Clic4	0	0	0	-1.0	0	-1.0	-1.0	0	0	0
Cln8	0	-1.0	-1.0	0	-1.0	0	0	0	0	0
Cnn2	0	0	0	0	0	0	0	3.0	0	0
Cnot6l	2.0	0	0	2.0	0	0	0	3.0	0	0
Cntn1	0	0	0	-2.0	0	0	0	0	0	0
Cobll1	0	0	0	1.0	0	0	0	1.0	0	0
Cog5	0	0	0	2.0	0	0	0	0	0	0
Coq2	0	0	0	1.0	0	0	0	0	0	0
Cpe	0	0	0	-2.0	0	0	0	0	0	0
Cpm	2.0	0	0	1.0	0	0	0	0	1.0	0
Cr1l	0	0	0	4.0	0	0	0	0	1.0	0
Creb3l1	0	0	0	3.0	0	0	0	1.0	0	0
Crtam	0	0	0	-1.0	0	0	0	0	0	0
Cryba4	0	0	0	0	0	-1.0	-1.0	0	0	0
Crybg3	0	0	0	-1.0	0	0	0	0	0	0
Csf2	0	0	0	2.0	0	0	0	0	0	0
Ctage5	3.0	0	0	0	0	0	0	0	0	0
Ctla2a	2.0	0	0	1.0	0	0	0	0	0	0
Ctla2b	2.0	0	0	1.0	0	0	0	2.0	0	0
Ctsd	3.0	0	0	1.0	0	0	0	0	0	0
Ctsh	0	0	0	-1.0	-1.0	0	0	0	0	0
Cwc25	0	0	0	0	0	-1.0	-1.0	0	0	-1.0
Cx3cl1	0	0	0	0	0	0	0	0	0	-1.0
Cxcl1	2.0	0	0	0	0	0	0	0	0	0
Cxcl2	2.0	0	0	1.0	0	0	0	1.0	0	0
Cxcl3	0	0	0	2.0	0	0	0	1.0	0	0
Cxcl9	0	0	0	-3.0	0	0	0	0	0	0
Cxcr5	0	0	0	-1.0	0	0	0	0	0	0
Cyp51	0	0	0	0	0	0	0	0	1.0	0
Cysltr1	0	0	0	5.0	0	0	0	3.0	1.0	0
D330045a20rik	0	0	0	2.0	0	0	0	3.0	1.0	0
D630039a03rik	0	0	0	1.0	0	0	0	0	1.0	0
D8ertd82e	0	0	0	3.0	0	0	0	0	0	0
Dagla	0	-1.0	-1.0	0	-1.0	0	0	0	0	-1.0
Dapk2	0	0	0	-1.0	0	0	0	0	0	0
Dapp1	3.0	0	0	2.0	0	0	0	0	0	0
Ddb2	0	0	0	1.0	0	0	0	0	0	0
Decr1	1.0	0	0	0	0	0	0	3.0	0	0
Deptor	3.0	0	0	2.0	0	0	0	1.0	0	0
Dgat1	0	0	0	-4.0	0	0	0	0	0	0
Dhrs3	0	-1.0	-1.0	-2.0	0	0	0	0	0	0
Dhx40	1.0	0	0	0	0	0	0	0	0	0
Diap3	1.0	0	0	3.0	0	0	0	0	0	0
Dlc1	0	-1.0	-1.0	-3.0	-1.0	0	0	0	0	-1.0
Dnajb2	0	0	0	-1.0	0	0	0	0	0	0
Dnajc6	0	-1.0	-1.0	-1.0	-1.0	0	0	0	0	-1.0
Dock1	0	0	0	0	0	0	0	0	1.0	0
Dock9	0	0	0	-1.0	0	0	0	0	0	0
Dpp4	2.0	0	0	4.0	0	0	0	0	1.0	0
Dpysl3	0	0	0	3.0	0	0	0	0	0	0
Dscam	0	-1.0	-1.0	0	0	0	0	0	0	-1.0
Dscaml1	0	0	0	-1.0	0	0	0	0	0	-1.0
Dtnbp1	0	0	0	1.0	0	0	0	0	0	0
Dtx4	0	0	0	-1.0	0	0	0	0	0	0
Dusp2	0	-1.0	-1.0	0	0	-1.0	-1.0	0	0	0
Ece1	0	-1.0	-1.0	-1.0	0	-1.0	-1.0	0	0	0
Eef2k	0	0	0	-2.0	0	-1.0	-1.0	0	0	-1.0
Eepd1	0	0	0	1.0	0	0	0	3.0	0	0
Eif2d	0	0	0	1.0	0	0	0	3.0	0	0
