Regulator	Target	Weight
E2f1	1700001l05rik	-1.0
E2f6	1700001l05rik	-1.0
Hes1	1700001l05rik	-1.0
Klf5	1700001l05rik	-1.0
Klf6	1700001l05rik	-1.0
Bach2	1700113h08rik	1.0
Gata3	1700113h08rik	1.0
Pou2f2	1700113h08rik	1.0
Gata3	2310007l24rik	-2.0
Bach2	2510009e07rik	3.0
Gata3	2510009e07rik	1.0
Gata3	4930404i05rik	1.0
Gata3	4930412o13rik	2.0
Pou2f2	4930417o13rik	2.0
Pou2f2	4930486l24rik	1.0
Bach2	4932438h23rik	2.0
Gata3	4932438h23rik	3.0
Gata3	Abca1	-1.0
Bach2	Acbd7	1.0
Bach2	Acer2	2.0
Gata3	Acer2	1.0
Pou2f2	Acer2	1.0
Bach2	Acoxl	1.0
Gata3	Acoxl	3.0
Pou2f2	Acoxl	3.0
Prdm16	Acoxl	1.0
Gata3	Acsbg1	3.0
Gata3	Acsf2	-1.0
Bach2	Acsl4	2.0
Gata3	Acsl4	1.0
Bach2	Actn2	1.0
Gata3	Actn2	3.0
Prdm16	Acvr2a	1.0
Bach2	Adam10	1.0
Bach2	Adam19	2.0
Pou2f2	Adam19	2.0
Prdm16	Adam19	1.0
Klf5	Adam8	-1.0
Klf6	Adam8	-1.0
Tcf7l1	Adamtsl4	-1.0
E2f1	Adap1	-1.0
E2f6	Adap1	-1.0
Hes1	Adap1	-1.0
Tcf7l1	Adap1	-1.0
Bach2	Adcy9	1.0
Gata3	Adcy9	1.0
Bach2	Aff4	1.0
Prdm16	Aff4	1.0
Bach2	Ahcyl2	2.0
Gata3	Ahcyl2	5.0
Bach2	Ahnak	2.0
Gata3	Ahnak	1.0
Bach2	Ahr	1.0
Bach2	Ahrr	1.0
Gata3	Ahrr	1.0
Bach2	Aim1	2.0
Bach2	Akr1c13	1.0
Gata3	Aldh2	1.0
Gata3	Alox5	1.0
Gata3	Amph	1.0
Pou2f2	Amph	1.0
Tcf7l1	Amz2	-1.0
Bach2	Angpt1	3.0
Gata3	Angpt1	3.0
Pou2f2	Angpt1	3.0
Hes1	Ankrd33b	-1.0
Bach2	Ankrd44	2.0
Gata3	Ankrd44	4.0
Prdm16	Ankrd44	1.0
Bach2	Anks6	1.0
Gata3	Anpep	-3.0
Klf5	Anxa2	-1.0
Klf6	Anxa2	-1.0
Bach2	Ap1s3	1.0
Gata3	Ap1s3	2.0
Pou2f2	Ap1s3	3.0
Gata3	Apol7e	-1.0
Bach2	Ar	3.0
Gata3	Ar	2.0
Pou2f2	Ar	2.0
Gata3	Arap3	-1.0
Gata3	Areg	1.0
Pou2f2	Areg	1.0
E2f1	Arfgap3	-1.0
E2f6	Arfgap3	-1.0
Hes1	Arfgap3	-1.0
Klf5	Arfgap3	-1.0
Klf6	Arfgap3	-1.0
Bach2	Arhgap15	2.0
Gata3	Arhgap15	6.0
Gata3	Arhgap21	-4.0
Pou2f2	Arhgap4	3.0
Gata3	Arhgap5	5.0
Prdm16	Arhgef10l	1.0
Bach2	Arhgef6	2.0
Pou2f2	Arhgef6	3.0
Bach2	Arid5b	3.0
Gata3	Arid5b	6.0
Gata3	Arl5a	3.0
Tcf7l1	Arsb	-1.0
Bach2	Art2b	1.0
Gata3	Art2b	2.0
Klf5	Asns	-1.0
Klf6	Asns	-1.0
Gata3	Atcay	-1.0
Klf5	Atg2a	-1.0
Klf6	Atg2a	-1.0
Gata3	Atp10d	1.0
Pou2f2	Atp10d	1.0
Prdm16	Atp10d	1.0
Bach2	Atp8a1	1.0
Prdm16	Atp8a1	1.0
Bach2	Atp8a2	3.0
Gata3	Atp8a2	5.0
Gata3	Atrx	1.0
E2f1	Auts2	-1.0
E2f6	Auts2	-1.0
Hes1	Auts2	-1.0
E2f1	Azin1	-1.0
E2f6	Azin1	-1.0
Tcf7l1	B3galt5	-1.0
Bach2	B4galt1	1.0
Gata3	B4galt1	5.0
Gata3	B4galt5	-1.0
Klf5	B4galt5	-1.0
Klf6	B4galt5	-1.0
Gata3	B4galt6	-1.0
Gata3	Bach2	5.0
Pou2f2	Bach2	1.0
Klf5	Baiap2l1	-1.0
Klf6	Baiap2l1	-1.0
Bach2	Bbs9	1.0
Gata3	Bbs9	4.0
Prdm16	Bbs9	1.0
E2f1	Bc035044	-1.0
E2f6	Bc035044	-1.0
Gata3	Bc035044	-2.0
Gata3	Bc049352	1.0
Bach2	Bcl11b	2.0
Gata3	Bcl11b	1.0
E2f1	Bcl2	-1.0
E2f6	Bcl2	-1.0
Gata3	Bcl2	-1.0
Hes1	Bcl2	-1.0
Tcf7l1	Bcl2	-1.0
Bach2	Bcl2l1	1.0
Gata3	Bcl2l1	6.0
Pou2f2	Bcl2l1	3.0
Bach2	Bdh1	3.0
E2f1	Bend4	-1.0
E2f6	Bend4	-1.0
Gata3	Bend4	-1.0
Klf5	Bend4	-1.0
Klf6	Bend4	-1.0
Tcf7l1	Bend4	-1.0
Pou2f2	Bmp7	3.0
E2f1	Bsn	-1.0
E2f6	Bsn	-1.0
Klf5	Bsn	-1.0
Klf6	Bsn	-1.0
Klf5	Bst2	-1.0
Klf6	Bst2	-1.0
Gata3	Btbd11	-3.0
Bach2	Btbd19	1.0
Gata3	Btbd19	1.0
Bach2	Bzw2	3.0
Gata3	Bzw2	3.0
Bach2	Cacna1d	2.0
Gata3	Cacna1d	2.0
Hes1	Cadm1	-1.0
Klf5	Cadm1	-1.0
Klf6	Cadm1	-1.0
Gata3	Calcrl	3.0
Gata3	Camk2b	-1.0
Bach2	Camk2d	3.0
Gata3	Camk2d	1.0
Pou2f2	Camk2d	3.0
Gata3	Cap2	-1.0
Bach2	Capn2	2.0
Gata3	Capn2	1.0
Gata3	Car13	3.0
Bach2	Car8	3.0
Gata3	Car8	1.0
Prdm16	Car8	1.0
Klf5	Card10	-1.0
Klf6	Card10	-1.0
Pou2f2	Casc4	1.0
Gata3	Cask	1.0
Pou2f2	Cask	2.0
E2f1	Casz1	-1.0
E2f6	Casz1	-1.0
Gata3	Cbfa2t3	-1.0
Hes1	Cbfa2t3	-1.0
Gata3	Ccdc109b	1.0
Prdm16	Ccdc109b	1.0
Bach2	Ccdc11	1.0
Gata3	Ccdc25	-1.0
Gata3	Ccdc88a	-4.0
Gata3	Ccl1	1.0
Gata3	Ccl17	-3.0
Gata3	Ccl5	-1.0
Gata3	Ccnd2	2.0
Pou2f2	Ccnd2	3.0
Prdm16	Ccnd2	1.0
Gata3	Ccr8	4.0
Pou2f2	Ccr8	2.0
Gata3	Cd160	-1.0
Hes1	Cd164	-1.0
Bach2	Cd200r1	1.0
Gata3	Cd200r1	1.0
Gata3	Cd226	3.0
Gata3	Cd247	4.0
Gata3	Cd27	1.0
Prdm16	Cd27	1.0
Gata3	Cd28	5.0
Prdm16	Cd28	1.0
Gata3	Cd44	5.0
Pou2f2	Cd44	2.0
Gata3	Cd53	2.0
Bach2	Cd6	3.0
E2f1	Cd68	-1.0
E2f6	Cd68	-1.0
Klf5	Cd68	-1.0
Klf6	Cd68	-1.0
Bach2	Cd69	1.0
Gata3	Cd69	3.0
Gata3	Cd86	-1.0
Gata3	Cd93	-1.0
Gata3	Cdc14a	-1.0
Gata3	Cdk14	-2.0
Pou2f2	Cdkl3	1.0
Gata3	Cdon	-4.0
E2f1	Cdyl2	-1.0
E2f6	Cdyl2	-1.0
Gata3	Cdyl2	-2.0
Tcf7l1	Cdyl2	-1.0
Gata3	Celf2	-2.0
Bach2	Celsr1	1.0
Prdm16	Celsr1	1.0
Bach2	Cep63	1.0
Gata3	Cep63	1.0
Tcf7l1	Cercam	-1.0
Gata3	Chad	-1.0
Gata3	Chaf1b	1.0
Bach2	Chd7	1.0
Gata3	Chd7	2.0
Pou2f2	Chd7	1.0
Bach2	Chdh	2.0
Gata3	Chdh	3.0
Pou2f2	Chdh	3.0
Gata3	Chic1	2.0
Prdm16	Chic1	1.0
Bach2	Chm	2.0
Gata3	Chm	3.0
Bach2	Chn2	2.0
Gata3	Chn2	2.0
Pou2f2	Chn2	3.0
Gata3	Chst11	-3.0
Tcf7l1	Chst11	-1.0
Klf5	Chst12	-1.0
Klf6	Chst12	-1.0
Gata3	Chsy3	2.0
Pou2f2	Chsy3	1.0
Gata3	Clcn3	-1.0
Gata3	Clic4	-1.0
Klf5	Clic4	-1.0
Klf6	Clic4	-1.0
E2f1	Cln8	-1.0
E2f6	Cln8	-1.0
Hes1	Cln8	-1.0
Pou2f2	Cnn2	3.0
Bach2	Cnot6l	2.0
Gata3	Cnot6l	2.0
Pou2f2	Cnot6l	3.0
Gata3	Cntn1	-2.0
Gata3	Cobll1	1.0
Pou2f2	Cobll1	1.0
Gata3	Cog5	2.0
Gata3	Coq2	1.0
Gata3	Cpe	-2.0
Bach2	Cpm	2.0
Gata3	Cpm	1.0
Prdm16	Cpm	1.0
Gata3	Cr1l	4.0
Prdm16	Cr1l	1.0
Gata3	Creb3l1	3.0
Pou2f2	Creb3l1	1.0
Gata3	Crtam	-1.0
Klf5	Cryba4	-1.0
Klf6	Cryba4	-1.0
Gata3	Crybg3	-1.0
Gata3	Csf2	2.0
Bach2	Ctage5	3.0
Bach2	Ctla2a	2.0
Gata3	Ctla2a	1.0
Bach2	Ctla2b	2.0
Gata3	Ctla2b	1.0
Pou2f2	Ctla2b	2.0
Bach2	Ctsd	3.0
Gata3	Ctsd	1.0
Gata3	Ctsh	-1.0
Hes1	Ctsh	-1.0
Klf5	Cwc25	-1.0
Klf6	Cwc25	-1.0
Tcf7l1	Cwc25	-1.0
Tcf7l1	Cx3cl1	-1.0
Bach2	Cxcl1	2.0
Bach2	Cxcl2	2.0
Gata3	Cxcl2	1.0
Pou2f2	Cxcl2	1.0
Gata3	Cxcl3	2.0
Pou2f2	Cxcl3	1.0
Gata3	Cxcl9	-3.0
Gata3	Cxcr5	-1.0
Prdm16	Cyp51	1.0
Gata3	Cysltr1	5.0
Pou2f2	Cysltr1	3.0
Prdm16	Cysltr1	1.0
Gata3	D330045a20rik	2.0
Pou2f2	D330045a20rik	3.0
Prdm16	D330045a20rik	1.0
Gata3	D630039a03rik	1.0
Prdm16	D630039a03rik	1.0
Gata3	D8ertd82e	3.0
E2f1	Dagla	-1.0
E2f6	Dagla	-1.0
Hes1	Dagla	-1.0
Tcf7l1	Dagla	-1.0
Gata3	Dapk2	-1.0
Bach2	Dapp1	3.0
Gata3	Dapp1	2.0
Gata3	Ddb2	1.0
Bach2	Decr1	1.0
Pou2f2	Decr1	3.0
Bach2	Deptor	3.0
Gata3	Deptor	2.0
Pou2f2	Deptor	1.0
Gata3	Dgat1	-4.0
E2f1	Dhrs3	-1.0
E2f6	Dhrs3	-1.0
Gata3	Dhrs3	-2.0
Bach2	Dhx40	1.0
Bach2	Diap3	1.0
Gata3	Diap3	3.0
E2f1	Dlc1	-1.0
E2f6	Dlc1	-1.0
Gata3	Dlc1	-3.0
Hes1	Dlc1	-1.0
Tcf7l1	Dlc1	-1.0
Gata3	Dnajb2	-1.0
E2f1	Dnajc6	-1.0
E2f6	Dnajc6	-1.0
Gata3	Dnajc6	-1.0
Hes1	Dnajc6	-1.0
Tcf7l1	Dnajc6	-1.0
Prdm16	Dock1	1.0
Gata3	Dock9	-1.0
Bach2	Dpp4	2.0
Gata3	Dpp4	4.0
Prdm16	Dpp4	1.0
Gata3	Dpysl3	3.0
E2f1	Dscam	-1.0
E2f6	Dscam	-1.0
Tcf7l1	Dscam	-1.0
Gata3	Dscaml1	-1.0
Tcf7l1	Dscaml1	-1.0
Gata3	Dtnbp1	1.0
Gata3	Dtx4	-1.0
E2f1	Dusp2	-1.0
E2f6	Dusp2	-1.0
Klf5	Dusp2	-1.0
Klf6	Dusp2	-1.0
E2f1	Ece1	-1.0
E2f6	Ece1	-1.0
Gata3	Ece1	-1.0
Klf5	Ece1	-1.0
Klf6	Ece1	-1.0
Gata3	Eef2k	-2.0
Klf5	Eef2k	-1.0
Klf6	Eef2k	-1.0
Tcf7l1	Eef2k	-1.0
Gata3	Eepd1	1.0
Pou2f2	Eepd1	3.0
Gata3	Eif2d	1.0
Pou2f2	Eif2d	3.0
Bach2	Elf1	2.0
Gata3	Elf1	3.0
Prdm16	Elf1	1.0
Pou2f2	Epb4.1l2	2.0
Gata3	Epb4.1l4a	1.0
Pou2f2	Epb4.1l4a	3.0
Gata3	Epha4	-1.0
Bach2	Erc1	3.0
Bach2	Esyt2	1.0
Gata3	Esyt2	2.0
Prdm16	Esyt2	1.0
Gata3	Ets2	1.0
Gata3	Etv3	4.0
Gata3	Etv6	-5.0
Klf5	Etv6	-1.0
Klf6	Etv6	-1.0
Tcf7l1	Etv6	-1.0
Gata3	Eya1	-1.0
Tcf7l1	Eya1	-1.0
E2f1	Ezr	-1.0
E2f6	Ezr	-1.0
Gata3	Ezr	-2.0
Hes1	Ezr	-1.0
Tcf7l1	Ezr	-1.0
Gata3	F2rl2	-1.0
Gata3	Faah	1.0
Bach2	Fam102a	1.0
Gata3	Fam105a	2.0
Pou2f2	Fam105a	1.0
Pou2f2	Fam117a	3.0
Gata3	Fam118b	1.0
Prdm16	Fam118b	1.0
Gata3	Fam124b	-2.0
Tcf7l1	Fam124b	-1.0
Gata3	Fam129b	-1.0
Klf5	Fam135a	-1.0
Klf6	Fam135a	-1.0
Bach2	Fam169b	2.0
Gata3	Fam184b	-1.0
Tcf7l1	Fam184b	-1.0
Gata3	Fam19a3	1.0
Pou2f2	Fam19a3	1.0
Gata3	Fam3c	-1.0
Gata3	Fam49a	-5.0
Bach2	Fam69a	1.0
Gata3	Fam69a	6.0
Pou2f2	Fam69a	1.0
Prdm16	Fam69a	1.0
Gata3	Farp1	-2.0
Tcf7l1	Farp1	-1.0
Tcf7l1	Fasl	-1.0
E2f1	Fbrsl1	-1.0
E2f6	Fbrsl1	-1.0
Klf5	Fbrsl1	-1.0
Klf6	Fbrsl1	-1.0
Tcf7l1	Fbrsl1	-1.0
Bach2	Fbxl21	2.0
Pou2f2	Fbxl21	1.0
E2f1	Fbxo21	-1.0
E2f6	Fbxo21	-1.0
Hes1	Fbxo21	-1.0
Klf5	Fbxo21	-1.0
Klf6	Fbxo21	-1.0
Tcf7l1	Fbxo21	-1.0
Gata3	Fcer1g	-1.0
Gata3	Fcrl1	1.0
E2f1	Fdxacb1	-1.0
E2f6	Fdxacb1	-1.0
Gata3	Fes	-2.0
Tcf7l1	Fes	-1.0
E2f1	Ficd	-1.0
E2f6	Ficd	-1.0
Klf5	Ficd	-1.0
Klf6	Ficd	-1.0
Bach2	Fkbp5	3.0
Pou2f2	Fkbp5	1.0
Gata3	Flrt2	1.0
Prdm16	Flrt2	1.0
Gata3	Flt3l	4.0
Pou2f2	Flt3l	1.0
Gata3	Fmnl2	-5.0
Gata3	Fndc3b	-1.0
Bach2	Foxn2	3.0
Gata3	Foxn2	1.0
Pou2f2	Foxn3	1.0
Bach2	Frmd4b	2.0
Gata3	Frmd4b	5.0
Pou2f2	Frmd4b	1.0
Prdm16	Frmd4b	1.0
Bach2	Fut8	3.0
Gata3	Fut8	1.0
Pou2f2	Fut8	3.0
Gata3	Fv1	2.0
Gata3	Fyb	2.0
Pou2f2	Fyb	2.0
Gata3	Gab2	-3.0
Gata3	Gabbr2	-1.0
Tcf7l1	Gabbr2	-1.0
Pou2f2	Gadd45b	3.0
Bach2	Galnt10	1.0
Gata3	Galnt3	1.0
Bach2	Galnt6	2.0
Gata3	Galnt6	1.0
Bach2	Gas7	2.0
Gata3	Gas7	2.0
Pou2f2	Gas7	1.0
Prdm16	Gas7	1.0
Bach2	Gata3	3.0
Gata3	Gata3	1.0
Bach2	Gbp4	2.0
Gata3	Gbp4	1.0
Prdm16	Gbp4	1.0
Bach2	Gbp9	1.0
Gata3	Gbp9	1.0
Prdm16	Gbp9	1.0
Bach2	Gcnt1	2.0
Gata3	Gcnt1	2.0
Gata3	Gcnt2	-1.0
Gata3	Gdpd5	-1.0
Tcf7l1	Gdpd5	-1.0
Gata3	Gem	-1.0
E2f1	Gfod1	-1.0
