	Ar	Ets2	Etv3	Gata3	Gtf3a	Hes1	Hey1	Irf4	Klf4	Klf5	Klf7	Klf8	Klf9	Maff	Maz	Mecom	Mxd1	Mxd4	Mynn	Nfe2	Nfkbiz	Nr3c1	Nr3c2	Nr4a1	Pou2f2	Pou5f2	Prdm16	Prdm9	Rxrg	Sp6	Stat1	Trps1	Zbtb21	Zbtb38	Zfp1	Zfp131	Zfp148	Zfp182	Zfp317	Zfp41	Zfp438	Zfp462	Zfp827	Zfp92
1110007c09rik	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110008f13rik	0	0	0	-3.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1110065p20rik	0	-1.0	-1.0	-1.0	0	0	0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	0	-1.0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	-3.0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0
1700001l05rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025g04rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-2.0	-1.0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
1700030k09rik	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034j05rik	0	-1.0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	0	-2.0	0	0	0	0	0	0	0
1700113h08rik	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011h11rik	1.0	1.0	1.0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
2310007l24rik	0	0	0	-2.0	0	0	0	0	0	0	0	0	0	0	-1.0	0	0	0	0	0	-1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310011j03rik	0	-1.0	-1.0	0	0	0	0	-1.0	-2.0	-2.0	-2.0	-2.0	-2.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310015a10rik	0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510009e07rik	0	1.0	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0.5	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
2610020h08rik	1.0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700097o09rik	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810004n23rik	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	1.0	1.0	0	1.0	1.0	1.0	1.0	0.5	1.0	1.0
2810474o19rik	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
