Regulator	Target	Weight
Esr1	1110007c09rik	1.0
Esrra	1110007c09rik	1.0
Ets2	1110007c09rik	0.5
Egr2	1110008f13rik	1.0
Elf4	1110008f13rik	1.0
Ets2	1110008f13rik	1.5
Glis3	1110008f13rik	1.0
Gtf3a	1110008f13rik	1.0
Irf4	1110008f13rik	1.0
Irf5	1110008f13rik	1.0
Irf7	1110008f13rik	2.0
Irf8	1110008f13rik	2.0
Zbtb16	1110008f13rik	0.5
Zfp287	1110008f13rik	1.0
Zfp553	1110008f13rik	1.0
Zfp57	1110008f13rik	0.5
Zfp606	1110008f13rik	1.0
Zfp646	1110008f13rik	1.0
Zfp768	1110008f13rik	1.0
Zfp827	1110008f13rik	1.0
Bcl11b	1600014c10rik	-0.5
Ets2	1600014c10rik	-1.5
Gtf3a	1600014c10rik	-1.0
Irf4	1600014c10rik	-3.5
Irf5	1600014c10rik	-3.5
Irf7	1600014c10rik	-7.0
Irf8	1600014c10rik	-7.0
Max	1600014c10rik	-1.0
Nr4a2	1600014c10rik	-2.0
Pparg	1600014c10rik	-1.0
Stat3	1600014c10rik	-2.0
Stat4	1600014c10rik	-2.0
Stat5a	1600014c10rik	-2.0
Stat5b	1600014c10rik	-2.0
Zbtb16	1600014c10rik	-0.5
Zfp287	1600014c10rik	-1.0
Zfp553	1600014c10rik	-1.0
Zfp57	1600014c10rik	-0.5
Zfp606	1600014c10rik	-1.0
Zfp646	1600014c10rik	-1.0
Zfp768	1600014c10rik	-1.0
Zfp827	1600014c10rik	-1.0
Lef1	1700001c19rik	-1.0
Relb	1700001c19rik	-1.0
Tcf7	1700001c19rik	-0.5
Egr2	1700001l05rik	-1.0
Gtf3a	1700001l05rik	-1.0
Irf4	1700001l05rik	-0.5
Irf5	1700001l05rik	-0.5
Irf7	1700001l05rik	-1.0
Irf8	1700001l05rik	-1.0
Zbtb16	1700001l05rik	-0.5
Zfp287	1700001l05rik	-1.0
Zfp553	1700001l05rik	-1.0
Zfp57	1700001l05rik	-0.5
Zfp606	1700001l05rik	-1.0
Zfp646	1700001l05rik	-1.0
Zfp768	1700001l05rik	-1.0
Zfp827	1700001l05rik	-1.0
Egr2	1700008j07rik	-1.0
Bach2	1700012b07rik	-1.0
Ets2	1700012b07rik	-0.5
Foxj1	1700012b07rik	-1.0
Irf4	1700012b07rik	-0.5
Irf5	1700012b07rik	-0.5
Irf7	1700012b07rik	-1.0
Irf8	1700012b07rik	-1.0
Bach2	1700025g04rik	1.0
Bcl11b	1700025g04rik	0.5
Egr2	1700025g04rik	1.0
Elf4	1700025g04rik	2.0
Eomes	1700025g04rik	2.0
Ets2	1700025g04rik	2.0
Foxo1	1700025g04rik	1.0
Irf4	1700025g04rik	3.5
Irf5	1700025g04rik	3.5
Irf7	1700025g04rik	7.0
Irf8	1700025g04rik	7.0
Jdp2	1700025g04rik	1.0
Klf12	1700025g04rik	1.0
Klf2	1700025g04rik	1.0
Klf5	1700025g04rik	0.5
Klf8	1700025g04rik	1.0
Lef1	1700025g04rik	2.0
Nr4a2	1700025g04rik	1.0
Prdm1	1700025g04rik	1.0
Sox8	1700025g04rik	0.5
Stat3	1700025g04rik	3.0
Stat4	1700025g04rik	3.0
Stat5a	1700025g04rik	3.0
Stat5b	1700025g04rik	3.0
Tbx21	1700025g04rik	2.0
Tcf7	1700025g04rik	1.0
Mef2c	1810011h11rik	-0.5
Mef2d	1810011h11rik	-1.0
Trp53	1810011h11rik	-2.0
Bach2	2010016i18rik	1.0
Elf4	2010016i18rik	1.0
Esr1	2010016i18rik	1.0
Esrra	2010016i18rik	1.0
Ets2	2010016i18rik	0.5
Klf12	2010016i18rik	1.0
Klf2	2010016i18rik	1.0
Klf5	2010016i18rik	0.5
Klf8	2010016i18rik	1.0
Lef1	2010016i18rik	1.0
Max	2010016i18rik	1.0
Pparg	2010016i18rik	0.5
Tcf7	2010016i18rik	0.5
Stat3	2010300c02rik	1.0
Stat4	2010300c02rik	1.0
Stat5a	2010300c02rik	1.0
Stat5b	2010300c02rik	1.0
Egr2	2310011j03rik	1.0
Irf4	2310011j03rik	0.5
Irf5	2310011j03rik	0.5
Irf7	2310011j03rik	1.0
Irf8	2310011j03rik	1.0
Irf4	2310014l17rik	3.0
Irf5	2310014l17rik	3.0
Irf7	2310014l17rik	6.0
Irf8	2310014l17rik	6.0
Stat3	2310014l17rik	2.0
Stat4	2310014l17rik	2.0
Stat5a	2310014l17rik	2.0
Stat5b	2310014l17rik	2.0
Bcl11b	2310015a10rik	-0.5
Cebpg	2310015a10rik	-2.0
Egr2	2310015a10rik	-2.0
Elf4	2310015a10rik	-2.0
Eomes	2310015a10rik	-3.0
Ets2	2310015a10rik	-1.0
Foxc1	2310015a10rik	-1.0
Foxj1	2310015a10rik	-3.0
Foxm1	2310015a10rik	-1.0
Foxo1	2310015a10rik	-1.0
Gtf3a	2310015a10rik	-1.0
Irf4	2310015a10rik	-2.0
Irf5	2310015a10rik	-2.0
Irf7	2310015a10rik	-4.0
Irf8	2310015a10rik	-4.0
Jdp2	2310015a10rik	-1.0
Stat3	2310015a10rik	-2.0
Stat4	2310015a10rik	-2.0
Stat5a	2310015a10rik	-2.0
Stat5b	2310015a10rik	-2.0
Tbx21	2310015a10rik	-3.0
Zbtb16	2310015a10rik	-0.5
Zfhx3	2310015a10rik	-1.0
Zfp287	2310015a10rik	-1.0
Zfp553	2310015a10rik	-1.0
Zfp57	2310015a10rik	-0.5
Zfp606	2310015a10rik	-1.0
Zfp646	2310015a10rik	-1.0
Zfp768	2310015a10rik	-1.0
Zfp827	2310015a10rik	-1.0
Ets2	2410131k14rik	0.5
Bach2	2610018g03rik	1.0
Bcl11b	2610018g03rik	0.5
Elf4	2610018g03rik	1.0
Ets2	2610018g03rik	1.0
Foxc1	2610018g03rik	1.0
Irf4	2610018g03rik	2.0
Irf5	2610018g03rik	2.0
Irf7	2610018g03rik	4.0
Irf8	2610018g03rik	4.0
Sox8	2610018g03rik	0.5
Stat3	2610018g03rik	1.0
Stat4	2610018g03rik	1.0
Stat5a	2610018g03rik	1.0
Stat5b	2610018g03rik	1.0
Bcl11b	2610020h08rik	0.5
Egr2	2610020h08rik	1.0
Elf4	2610020h08rik	1.0
Ets2	2610020h08rik	2.0
Foxo1	2610020h08rik	1.0
Gtf3a	2610020h08rik	2.0
Irf4	2610020h08rik	3.0
Irf5	2610020h08rik	3.0
Irf7	2610020h08rik	6.0
Irf8	2610020h08rik	6.0
Prdm1	2610020h08rik	1.0
Sox8	2610020h08rik	0.5
Stat3	2610020h08rik	2.0
Stat4	2610020h08rik	2.0
Stat5a	2610020h08rik	2.0
Stat5b	2610020h08rik	2.0
Zbtb16	2610020h08rik	1.0
Zfp287	2610020h08rik	2.0
Zfp553	2610020h08rik	2.0
Zfp57	2610020h08rik	1.0
Zfp606	2610020h08rik	2.0
Zfp646	2610020h08rik	2.0
Zfp768	2610020h08rik	2.0
Zfp827	2610020h08rik	2.0
Ets2	2610035d17rik	-0.5
Glis3	2610035d17rik	-1.0
Meis3	2610035d17rik	-1.0
Trp53	2610035d17rik	-1.0
Egr2	2610318n02rik	1.0
Bach2	2700086a05rik	-1.0
Bcl11b	2700086a05rik	-0.5
Bcl6	2700086a05rik	-1.0
Eomes	2700086a05rik	-1.0
Irf4	2700086a05rik	-1.5
Irf5	2700086a05rik	-1.5
Irf7	2700086a05rik	-3.0
Irf8	2700086a05rik	-3.0
Meis3	2700086a05rik	-1.0
Prdm1	2700086a05rik	-1.0
Tbx21	2700086a05rik	-1.0
Foxc1	2700099c18rik	1.0
Egr2	2810025m15rik	1.0
Bach2	2810474o19rik	-2.0
Elf4	2810474o19rik	-1.0
Ets2	2810474o19rik	-1.0
Foxc1	2810474o19rik	-2.0
Foxj1	2810474o19rik	-2.0
Foxo1	2810474o19rik	-2.0
Gtf3a	2810474o19rik	-1.0
Irf4	2810474o19rik	-3.0
Irf5	2810474o19rik	-3.0
Irf7	2810474o19rik	-6.0
Irf8	2810474o19rik	-6.0
Lef1	2810474o19rik	-1.0
Max	2810474o19rik	-1.0
Mef2c	2810474o19rik	-1.0
Mef2d	2810474o19rik	-2.0
Nr4a2	2810474o19rik	-1.0
Relb	2810474o19rik	-1.0
Stat3	2810474o19rik	-1.0
Stat4	2810474o19rik	-1.0
Stat5a	2810474o19rik	-1.0
Stat5b	2810474o19rik	-1.0
Tada2b	2810474o19rik	-1.0
Tcf7	2810474o19rik	-0.5
Zbtb16	2810474o19rik	-0.5
Zfp287	2810474o19rik	-1.0
Zfp553	2810474o19rik	-1.0
Zfp57	2810474o19rik	-0.5
Zfp606	2810474o19rik	-1.0
Zfp646	2810474o19rik	-1.0
Zfp768	2810474o19rik	-1.0
Zfp827	2810474o19rik	-1.0
Cebpg	2900005j15rik	-2.0
Ets2	2900005j15rik	-0.5
Glis3	2900005j15rik	-2.0
Gtf3a	2900005j15rik	-1.0
Zbtb16	2900005j15rik	-0.5
Zfp287	2900005j15rik	-1.0
Zfp553	2900005j15rik	-1.0
Zfp57	2900005j15rik	-0.5
Zfp606	2900005j15rik	-1.0
Zfp646	2900005j15rik	-1.0
Zfp768	2900005j15rik	-1.0
Zfp827	2900005j15rik	-1.0
Bach2	2900026a02rik	1.0
Irf4	2900026a02rik	0.5
Irf5	2900026a02rik	0.5
Irf7	2900026a02rik	1.0
Irf8	2900026a02rik	1.0
Lef1	2900026a02rik	1.0
Max	2900026a02rik	1.0
Meis3	2900026a02rik	3.0
Prdm1	2900026a02rik	1.0
Stat3	2900026a02rik	1.0
Stat4	2900026a02rik	1.0
Stat5a	2900026a02rik	1.0
Stat5b	2900026a02rik	1.0
Tcf7	2900026a02rik	0.5
Max	3110070m22rik	1.0
Bach2	4632428n05rik	1.0
Egr2	4632428n05rik	1.0
Elf4	4632428n05rik	3.0
Ets2	4632428n05rik	2.5
Glis3	4632428n05rik	1.0
Gtf3a	4632428n05rik	1.0
Irf4	4632428n05rik	0.5
Irf5	4632428n05rik	0.5
Irf7	4632428n05rik	1.0
Irf8	4632428n05rik	1.0
Mef2c	4632428n05rik	0.5
Mef2d	4632428n05rik	1.0
Meis3	4632428n05rik	1.0
