	CCR6-ILC3_SI_1	CCR6-ILC3_SI_2	CCR6-ILC3_SI_3	CCR6-ILC3_LI_1	CCR6-ILC3_LI_citro_2	CCR6-ILC3_LI_citro	CCR6+ILC3s_SI_1	CCR6+ILC3s_SI_2	CCR6+ILC3s_SI_3	CCR6+ILC3s_LI_1	CCR6+ILC3s_SI_Citro_2	ILC1_SI_3	ILC1_SI_4	NK_SI_3	NK_SI_4	ILC2_SI_1	ILC2_SI_2	ILC2_LI_1	ILC2_LI_2	ILC2_LI_citro_2	NKcells_LI_citro	NKcells_SI_SS
Gkn3	  1.0085	 0.87761	-0.32989	 -1.1268	 -1.1268	 -1.1268	 0.87939	 0.92479	 0.33869	 -1.1268	 -1.1268	  1.4163	 0.97783	  1.4539	 0.64371	 0.77264	 0.33001	 -1.1268	-0.83498	 -1.1268	 -1.1268	 0.55618
Tff2	 0.88878	 0.94495	-0.57914	 -1.1343	 -1.0138	 -1.1343	 0.80039	    1.02	 0.61973	 -1.0057	 -1.1343	  1.3574	 0.97225	   1.361	  0.5378	 0.78631	 0.56866	 -1.1343	-0.99595	 -1.1343	 -1.1343	 0.54305
2310057J18Rik	 0.84903	  1.0698	-0.79526	  -1.006	  -1.006	  -1.006	 0.54752	   1.489	 0.12972	  -1.006	  -1.006	  1.7523	 0.54591	  1.5956	 0.39232	 0.67537	  0.3191	  -1.006	  -1.006	  -1.006	  -1.006	 0.48346
A4gnt	   1.0308	  0.69269	   -1.015	   -1.015	   -1.015	   -1.015	  0.76995	   1.0279	 -0.17268	   -1.015	   -1.015	   1.7023	   0.5465	   2.0858	  0.73904	  0.76676	0.0018436	   -1.015	 -0.68893	   -1.015	 -0.58332	  0.20129
Muc6	  1.2479	 0.71788	-0.14863	 -1.0736	 -1.0039	-0.58361	  1.1135	 0.44749	 0.53883	-0.97114	  -1.042	  1.0171	  1.3154	  1.1249	 0.84874	 0.85815	 0.11612	 -1.0484	  -1.344	 -1.2523	  -1.508	  0.6297
Pgc	  1.1785	  1.4018	 -1.1033	 -1.1033	 -1.1033	-0.59859	 0.86848	 0.50992	  0.6536	 -1.1033	 -1.1033	 0.67715	 0.45752	  1.4478	0.021246	 0.72978	  1.2002	 -1.1033	-0.67686	 -1.1033	 -1.1033	 0.95559
Glp1r	 0.99086	 0.53027	 -1.0389	 -1.0389	-0.78331	-0.69148	 0.36603	  1.0905	 0.64881	 -1.0389	 -1.0389	  1.3316	  1.3584	  1.6462	 0.88291	  0.5651	 -1.0389	 -1.0389	 -1.0389	 -1.0389	-0.43261	  0.8079
Habp2	0.86307	0.47125	-0.8821	-0.8821	-0.8821	-0.8821	0.23183	 1.1538	0.47668	-0.8821	-0.8821	 2.4545	   1.45	 0.6209	0.77603	0.70401	-0.8821	-0.8821	-0.8821	-0.8821	-0.8821	0.50097
Cftr	  1.1387	 0.60339	 -1.0099	-0.89615	 -1.6695	-0.54007	 0.73037	  0.8887	  0.4212	 0.46959	 -1.6695	  1.5671	 -0.3374	  1.8385	 0.39465	 0.64353	 0.54416	 -1.1454	-0.44685	-0.75221	 -0.9935	 0.22054
Prom1	  0.89543	  0.96326	 -0.70238	  -1.5723	  -1.1994	 -0.10399	  0.50093	  0.48856	  0.55949	-0.030126	  -1.1016	   2.2277	   0.5034	   1.8747	  0.76991	 0.054921	 -0.29454	  -1.2547	 -0.59396	 -0.92263	 -0.73434	 -0.32841
Wfdc18	  1.0696	 0.18797	 -1.1363	 -1.1363	 -1.1363	 -1.1363	  0.8051	 0.90451	 0.42992	 0.57014	-0.63654	  1.5764	 0.81886	  1.9786	 0.49915	 0.67204	-0.31342	 -1.1363	 -1.1363	 -1.1363	-0.72045	 0.11223
Cldn2	   0.52449	   0.41946	   -1.6088	  0.051848	   -2.0226	  -0.98257	   0.81786	   0.59161	    0.2548	  -0.25094	   -1.1267	    1.4041	    1.3355	    1.1489	    1.3112	-0.0034564	   0.67875	   -1.5619	  0.019501	  -0.66098	  -0.55451	   0.21448
Gemin4	  0.7839	 0.27346	-0.48723	-0.78724	 -1.4964	-0.71389	   1.171	0.030514	-0.35152	-0.94037	 -0.6831	 0.89384	  1.6766	  2.2835	  1.2208	 0.75401	 -1.0241	-0.74872	0.040899	-0.85649	-0.73194	-0.30759
Aqp5	  1.4193	-0.13983	-0.85251	-0.85251	-0.85251	-0.85251	  1.0939	  1.5264	-0.85251	-0.85251	-0.85251	  1.1512	0.083582	  2.1227	0.069811	  1.0486	 0.48976	-0.85251	-0.85251	-0.85251	-0.85251	 0.51214
